PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
048Un,6k1/6p1/8/Q7/P4PK1/6P1/8/3q4 w - - 5 44,g4f5 d1h5 f5e4 h5a5,1150,78,94,1016,crushing endgame queenEndgame short skewer,https://lichess.org/CI5urSLm#87,
0KXc1,r4qk1/pppn2p1/4b2p/3pN3/3P4/2PB2PP/PPQ3K1/5R2 b - - 1 20,f8d6 d3h7 g8h8 e5g6 h8h7 g6f8 h7g8 c2h7,1827,73,96,15478,doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Zf6BpZ9d/black#40,
0PQsI,r1b2rk1/pp1nqppp/5n2/2P1p3/5B2/P2BPN1P/1P3PP1/R2Q1RK1 w - - 0 15,f4g5 e5e4 d3e4 e7e4,1523,74,96,22101,advantage fork master middlegame short,https://lichess.org/SA8y9WjL#29,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack
01CxB,4k3/R5R1/5pKp/1Pp3r1/8/6P1/4p2P/8 w - - 3 53,g6f6 g5g7 f6g7 e2e1q,1417,75,96,18700,advancedPawn crushing endgame master promotion rookEndgame short,https://lichess.org/RKxc3BDJ#105,
0Mx6X,1k6/8/1p1R1N2/p1pPp3/1qP1PpB1/3K4/8/8 b - - 0 52,a5a4 d6b6 b4b6 f6d7 b8b7 d7b6,1865,73,95,16256,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/HniXqpcc/black#104,
0FzgS,4kb1r/p2b1ppp/1n6/q2np3/4P3/1QN5/PP3PPP/R1B1K1NR w KQk - 0 13,e4d5 d7a4 b3b6 a7b6,2009,75,93,5449,advantage middlegame short trappedPiece,https://lichess.org/mo3CQ30b#25,Queens_Gambit_Accepted Queens_Gambit_Accepted_Central_Variation
00Rue,r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P4/BP2PN2/P1P2PPP/RN1QKB1R w KQkq - 2 7,c2c4 f5b1 a1b1 d8a5 b3b4 a5a3,1853,72,96,16187,advantage fork long opening,https://lichess.org/tgFzBrLu#13,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation
0Hxk4,8/6p1/3kp1Pp/3p3P/p1PP2K1/Pr3R2/8/8 b - - 0 43,b3f3 c4c5 d6c6 g4f3 e6e5 d4e5,2091,79,95,15004,crushing endgame intermezzo long rookEndgame,https://lichess.org/qhVtTM5a/black#86,
0NmaH,r4r1k/p1B3pp/1p3pn1/3Q1b2/3q4/2N4P/PP2RPP1/4R1K1 b - - 1 21,d4d3 d5a8 f8a8 e2e8 g6f8 e8a8,1797,75,94,7642,attraction crushing long middlegame pin sacrifice,https://lichess.org/A7ASCLH2/black#42,
02WmY,r2qk2r/1p3pbp/p1npbnp1/3Np3/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 3 11,f6d5 e4d5 e6d5 c3d5 d8a5 d5c3,1631,74,96,17435,advantage defensiveMove fork long opening,https://lichess.org/GQ4qa2uk/black#22,Sicilian_Defense Sicilian_Defense_Sozin
